datetime,payload_callsign,lat,lon,alt,ascent_rate,batt,ext_humidity,ext_pressure,ext_temperature,frame,sats,speed,temp,upload_time,uploader_alt,uploader_callsign,software_name,software_version,frequency,modulation,baud_rate,snr,rssi,uploader_position,uploader_antenna,uploader_radio,time_received,raw
2025-06-21T18:37:33.000000Z,APEX-2-R,42.29633331298828,-71.1894302368164,26365,6.63,2.7450980392156863,0,0.0,0.0,1290,11,12,-13,2025-06-21T18:37:40.664805,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630838,Horus Binary v2,,6.54,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:37:38.876348Z,5C030A05122521722F2942FD608EC2FD660C0BF38C970200000000000000AD8C
2025-06-21T18:38:53.000000Z,APEX-2-R,42.297340393066406,-71.195068359375,26845,6.83,2.7450980392156863,0,0.0,0.0,1305,10,35,-13,2025-06-21T18:39:00.926058,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630825,Horus Binary v2,,5.67,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:38:58.921442Z,5C0319051226357A302942E0638EC2DD68230AF38CAB020000000000000033D5
2025-06-21T18:40:48.000000Z,APEX-2-R,42.29775619506836,-71.2034912109375,27552,6.87,2.7450980392156863,0,0.0,0.0,1327,11,32,-13,2025-06-21T18:40:55.212270,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630851,Horus Binary v2,,2.0,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:40:54.034143Z,5C032F05122830E730294230688EC2A06B200BF38CAF02000000000000001E20
2025-06-21T18:41:20.000000Z,APEX-2-R,42.297889709472656,-71.20758819580078,27736,6.99,2.7450980392156863,0,0.0,0.0,1333,11,44,-13,2025-06-21T18:41:25.372480,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630845,Horus Binary v2,,12.88,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:41:25.008886Z,5C0335051229140A312942496A8EC2586C2C0BF38CBB02000000000000003A9F
2025-06-21T18:41:58.000000Z,APEX-2-R,42.29800033569336,-71.21379089355469,27980,6.1,2.7450980392156863,0,0.0,0.0,1341,11,45,-13,2025-06-21T18:42:05.567586,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.63086,Horus Binary v2,,5.14,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:42:04.527632Z,5C033D0512293A27312942766D8EC24C6D2D0BF38C6202000000000000009F38
2025-06-21T18:43:08.000000Z,APEX-2-R,42.297935485839844,-71.22687530517578,28396,6.63,2.7254901960784315,0,0.0,0.0,1355,11,46,-13,2025-06-21T18:43:15.788376,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630857,Horus Binary v2,,10.34,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:43:14.585327Z,5C034B05122B081631294229748EC2EC6E2E0BF38B97020000000000000034A0
2025-06-21T18:43:14.000000Z,APEX-2-R,42.29799270629883,-71.22769165039062,28420,4.58,2.7450980392156863,0,0.0,0.0,1356,11,57,-13,2025-06-21T18:43:19.887933,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630845,Horus Binary v2,,3.89,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:43:19.109152Z,5C034C05122B0E2531294294748EC2046F390BF38CCA01000000000000004933
2025-06-21T18:44:28.000000Z,APEX-2-R,42.29876708984375,-71.23859405517578,28840,5.2,2.7450980392156863,0,0.0,0.0,1370,11,38,-13,2025-06-21T18:44:36.131548,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630848,Horus Binary v2,,2.99,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:44:34.711601Z,5C035A05122C1CF0312942297A8EC2A870260BF38C0802000000000000001DC0
2025-06-21T18:46:15.000000Z,APEX-2-R,42.30003356933594,-71.25384521484375,29482,7.06,2.7254901960784315,0,0.0,0.0,1391,11,57,-12,2025-06-21T18:46:20.360336,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630853,Horus Binary v2,,4.78,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:46:19.846581Z,5C036F05122E0F3C332942F8818EC22A73390BF48BC202000000000000005664
2025-06-21T18:46:50.000000Z,APEX-2-R,42.29962158203125,-71.25948333740234,29708,7.19,2.7254901960784315,0,0.0,0.0,1398,11,49,-12,2025-06-21T18:46:56.594830,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.629826,Horus Binary v2,,2.26,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T18:46:55.339375Z,5C037605122E32D0322942DB848EC20C74310BF48BCF0200000000000000F521
2025-06-21T19:03:09.000000Z,APEX-2-R,42.18681716918945,-71.2388916015625,11476,-11.73,2.7058823529411766,0,0.0,0.0,1588,10,200,-22,2025-06-21T19:03:15.484679,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630828,Horus Binary v2,,-5.38,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:03:15.145686Z,5C0334061303094DBF2842507A8EC2D42CC80AEA8A6BFB00000000000000B64D
2025-06-21T19:03:13.000000Z,APEX-2-R,42.184871673583984,-71.23812103271484,11427,-14.02,2.7058823529411766,0,0.0,0.0,1589,10,215,-22,2025-06-21T19:03:21.745859,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630831,Horus Binary v2,,-4.82,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:03:19.664413Z,5C03350613030D4FBD2842EB798EC2A32CD70AEA8A86FA000000000000007B8C
2025-06-21T19:03:58.000000Z,APEX-2-R,42.16299057006836,-71.2301254272461,10917,-11.19,2.7058823529411766,0,0.0,0.0,1597,9,197,-22,2025-06-21T19:04:06.177188,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630817,Horus Binary v2,,-7.45,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:04:04.198125Z,5C033D0613033AE7A62842D3758EC2A52AC509EA8AA1FB00000000000000B997
2025-06-21T19:04:08.000000Z,APEX-2-R,42.15913772583008,-71.22891998291016,10825,-11.08,2.6862745098039214,0,0.0,0.0,1599,9,194,-22,2025-06-21T19:04:14.318079,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630819,Horus Binary v2,,0.44,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:04:12.742530Z,5C033F06130408F5A2284235758EC2492AC209EA89ACFB000000000000006548
2025-06-21T19:03:44.000000Z,APEX-2-R,42.16987609863281,-71.2323989868164,11071,-11.38,2.6862745098039214,0,0.0,0.0,1595,10,197,-22,2025-06-21T19:03:51.896156,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630822,Horus Binary v2,,-1.45,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:03:50.730767Z,5C033B0613032CF4AD2842FD768EC23F2BC50AEA898EFB00000000000000535D
2025-06-21T19:03:50.000000Z,APEX-2-R,42.16790008544922,-71.23168182373047,11027,-10.73,2.6862745098039214,0,0.0,0.0,1596,10,196,-22,2025-06-21T19:03:56.059781,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630817,Horus Binary v2,,-5.06,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:03:54.741345Z,5C033C06130332EEAB28429F768EC2132BC40AEA89CFFB00000000000000DEBB
2025-06-21T19:04:34.000000Z,APEX-2-R,42.14680099487305,-71.22510528564453,10547,-9.66,2.6862745098039214,0,0.0,0.0,1604,9,192,-22,2025-06-21T19:04:40.535650,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630822,Horus Binary v2,,-3.72,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:04:39.712770Z,5C0344061304225396284241738EC23329C009EA893AFC00000000000000F8A9
2025-06-21T19:05:18.000000Z,APEX-2-R,42.1262321472168,-71.21984100341797,10101,-10.59,2.6862745098039214,0,0.0,0.0,1613,9,185,-21,2025-06-21T19:05:24.969370,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.63082,Horus Binary v2,,-4.18,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:05:23.220310Z,5C034D06130512438128428F708EC27527B909EB89DDFB00000000000000725D
2025-06-21T19:05:22.000000Z,APEX-2-R,42.1244010925293,-71.21944427490234,10060,-9.72,2.6862745098039214,0,0.0,0.0,1614,9,186,-21,2025-06-21T19:05:29.087172,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630825,Horus Binary v2,,-1.3,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:05:27.237710Z,5C034E06130516637F28425B708EC24C27BA09EB8934FC0000000000000076EA
2025-06-21T19:05:08.000000Z,APEX-2-R,42.12992858886719,-71.22073364257812,10183,-9.16,2.6862745098039214,0,0.0,0.0,1611,9,201,-21,2025-06-21T19:05:16.822795,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630822,Horus Binary v2,,-3.02,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:05:14.780522Z,5C034B061305080C85284204718EC2C727C909EB896CFC00000000000000C019
2025-06-21T19:05:04.000000Z,APEX-2-R,42.13186264038086,-71.2211685180664,10220,-10.21,2.6862745098039214,0,0.0,0.0,1610,9,192,-21,2025-06-21T19:05:10.715146,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630825,Horus Binary v2,,-0.25,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:05:10.261537Z,5C034A06130504078728423D718EC2EC27C009EB8903FC000000000000000D4C
2025-06-21T19:05:48.000000Z,APEX-2-R,42.11137390136719,-71.21702575683594,9786,-10.14,2.6862745098039214,0,0.0,0.0,1619,9,185,-21,2025-06-21T19:05:55.346740,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630828,Horus Binary v2,,-2.58,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:05:53.772840Z,5C0353061305300C7228421E6F8EC23A26B909EB890AFC00000000000000C48D
2025-06-21T19:05:40.000000Z,APEX-2-R,42.11598587036133,-71.21791076660156,9884,-9.22,2.6862745098039214,0,0.0,0.0,1617,9,191,-21,2025-06-21T19:05:47.219221,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630823,Horus Binary v2,,-4.24,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:05:45.332077Z,5C035106130528C5762842926F8EC29C26BF09EB8966FC000000000000006533
2025-06-21T19:06:16.000000Z,APEX-2-R,42.100379943847656,-71.2152099609375,9544,-9.03,2.6862745098039214,0,0.0,0.0,1624,9,166,-20,2025-06-21T19:06:21.532108,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.629793,Horus Binary v2,,-2.04,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:06:20.827290Z,5C035806130610CA662842306E8EC24825A609EC8979FC000000000000004A39
2025-06-21T19:06:20.000000Z,APEX-2-R,42.09870147705078,-71.21485900878906,9507,-9.21,2.6862745098039214,0,0.0,0.0,1625,9,155,-20,2025-06-21T19:06:25.636808,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630845,Horus Binary v2,,-2.04,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:06:24.840269Z,5C03590613061412652842026E8EC223259B09EC8967FC00000000000000FAD2
2025-06-21T19:06:34.000000Z,APEX-2-R,42.09333419799805,-71.2137680053711,9377,-9.15,2.6862745098039214,0,0.0,0.0,1627,9,156,-20,2025-06-21T19:06:39.952417,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630832,Horus Binary v2,,-0.92,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:06:38.836677Z,5C035B06130622935F2842736D8EC2A1249C09EC896DFC000000000000008B45
2025-06-21T19:06:38.000000Z,APEX-2-R,42.091880798339844,-71.21339416503906,9340,-9.06,2.6862745098039214,0,0.0,0.0,1628,9,141,-20,2025-06-21T19:06:44.108944,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630842,Horus Binary v2,,-0.92,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:06:42.846690Z,5C035C06130626165E2842426D8EC27C248D09EC8976FC00000000000000D4D1
2025-06-21T19:06:42.000000Z,APEX-2-R,42.09047317504883,-71.21307373046875,9304,-9.27,2.6862745098039214,0,0.0,0.0,1629,9,147,-19,2025-06-21T19:06:48.274408,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630836,Horus Binary v2,,-3.53,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:06:47.368726Z,5C035D0613062AA55C2842186D8EC258249309ED8961FC00000000000000E455
2025-06-21T19:06:46.000000Z,APEX-2-R,42.08904266357422,-71.21261596679688,9268,-9.03,2.6862745098039214,0,0.0,0.0,1630,9,137,-19,2025-06-21T19:06:52.400503,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630841,Horus Binary v2,,0.96,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:06:51.807831Z,5C035E0613062E2E5B2842DC6C8EC234248909ED8979FC000000000000009ADC
2025-06-21T19:06:50.000000Z,APEX-2-R,42.08692932128906,-71.21189880371094,9215,-9.05,2.6862745098039214,0,0.0,0.0,1631,9,151,-19,2025-06-21T19:06:56.512367,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630831,Horus Binary v2,,0.96,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:06:55.801998Z,5C035F06130632045928427E6C8EC2FF239709ED8977FC00000000000000FAD0
2025-06-21T19:06:54.000000Z,APEX-2-R,42.08557891845703,-71.21136474609375,9179,-8.87,2.6862745098039214,0,0.0,0.0,1632,8,136,-19,2025-06-21T19:07:00.684879,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630841,Horus Binary v2,,0.93,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:07:00.343767Z,5C036006130636A2572842386C8EC2DB238808ED8989FC00000000000000F673
2025-06-21T19:07:05.000000Z,APEX-2-R,42.082523345947266,-71.21002197265625,9097,-8.44,2.6862745098039214,0,0.0,0.0,1633,9,141,-19,2025-06-21T19:07:10.809612,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630836,Horus Binary v2,,-4.22,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:07:09.809362Z,5C03610613070581542842886B8EC289238D09ED89B4FC000000000000009400
2025-06-21T19:06:24.000000Z,APEX-2-R,42.09716796875,-71.21453094482422,9468,-9.46,2.6862745098039214,0,0.0,0.0,1626,9,157,-20,2025-06-21T19:06:29.799829,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.630826,Horus Binary v2,,-2.22,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.630 MHz),2025-06-21T19:06:29.351853Z,5C035A0613061880632842D76D8EC2FC249D09EC894EFC0000000000000088D5
